parent_agency,agency,acronym,presidential_year,final_rules,proposed_rules
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,1996,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,1997,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,1998,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,1999,1,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2000,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2001,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2002,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2003,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2004,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2005,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2006,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2007,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2008,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2009,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2010,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2011,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2012,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2013,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2014,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2015,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2016,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2017,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2018,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2019,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2020,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2021,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2022,0,0
christopher-columbus-quincentenary-jubilee-commission,christopher-columbus-quincentenary-jubilee-commission,Christopher Columbus Quincentenary Jubilee Commission,2023,0,0
civil-rights-commission,civil-rights-commission,CRC,1995,0,1
civil-rights-commission,civil-rights-commission,CRC,1996,0,0
civil-rights-commission,civil-rights-commission,CRC,1997,0,0
civil-rights-commission,civil-rights-commission,CRC,1998,0,0
civil-rights-commission,civil-rights-commission,CRC,1999,0,0
civil-rights-commission,civil-rights-commission,CRC,2000,0,0
civil-rights-commission,civil-rights-commission,CRC,2001,0,0
civil-rights-commission,civil-rights-commission,CRC,2002,1,1
civil-rights-commission,civil-rights-commission,CRC,2003,0,0
civil-rights-commission,civil-rights-commission,CRC,2004,0,0
civil-rights-commission,civil-rights-commission,CRC,2005,0,1
civil-rights-commission,civil-rights-commission,CRC,2006,1,2
civil-rights-commission,civil-rights-commission,CRC,2007,0,0
civil-rights-commission,civil-rights-commission,CRC,2008,2,0
civil-rights-commission,civil-rights-commission,CRC,2009,0,0
civil-rights-commission,civil-rights-commission,CRC,2010,0,0
civil-rights-commission,civil-rights-commission,CRC,2011,0,0
civil-rights-commission,civil-rights-commission,CRC,2012,0,0
civil-rights-commission,civil-rights-commission,CRC,2013,0,0
civil-rights-commission,civil-rights-commission,CRC,2014,0,0
civil-rights-commission,civil-rights-commission,CRC,2015,0,0
civil-rights-commission,civil-rights-commission,CRC,2016,0,0
civil-rights-commission,civil-rights-commission,CRC,2017,0,0
civil-rights-commission,civil-rights-commission,CRC,2018,0,0
civil-rights-commission,civil-rights-commission,CRC,2019,0,0
civil-rights-commission,civil-rights-commission,CRC,2020,0,0
civil-rights-commission,civil-rights-commission,CRC,2021,0,0
civil-rights-commission,civil-rights-commission,CRC,2022,0,0
civil-rights-commission,civil-rights-commission,CRC,2023,0,0
commerce-department,census-bureau,USBC,1995,0,0
commerce-department,census-bureau,USBC,1996,3,1
commerce-department,census-bureau,USBC,1997,1,1
commerce-department,census-bureau,USBC,1998,3,2
commerce-department,census-bureau,USBC,1999,2,2
commerce-department,census-bureau,USBC,2000,2,1
commerce-department,census-bureau,USBC,2001,1,2
commerce-department,census-bureau,USBC,2002,2,3
commerce-department,census-bureau,USBC,2003,3,1
commerce-department,census-bureau,USBC,2004,1,2
commerce-department,census-bureau,USBC,2005,1,1
commerce-department,census-bureau,USBC,2006,0,0
commerce-department,census-bureau,USBC,2007,0,0
commerce-department,census-bureau,USBC,2008,2,0
commerce-department,census-bureau,USBC,2009,2,1
commerce-department,census-bureau,USBC,2010,1,1
commerce-department,census-bureau,USBC,2011,0,0
commerce-department,census-bureau,USBC,2012,1,1
commerce-department,census-bureau,USBC,2013,2,1
commerce-department,census-bureau,USBC,2014,2,0
commerce-department,census-bureau,USBC,2015,2,0
commerce-department,census-bureau,USBC,2016,0,3
commerce-department,census-bureau,USBC,2017,1,2
commerce-department,census-bureau,USBC,2018,2,0
commerce-department,census-bureau,USBC,2019,1,0
commerce-department,census-bureau,USBC,2020,0,1
commerce-department,census-bureau,USBC,2021,0,1
commerce-department,census-bureau,USBC,2022,2,2
commerce-department,census-bureau,USBC,2023,2,1
commerce-department,commerce-department,DOC,1995,294,159
commerce-department,commerce-department,DOC,1996,333,197
commerce-department,commerce-department,DOC,1997,306,184
commerce-department,commerce-department,DOC,1998,317,166
commerce-department,commerce-department,DOC,1999,355,179
commerce-department,commerce-department,DOC,2000,325,177
commerce-department,commerce-department,DOC,2001,297,190
commerce-department,commerce-department,DOC,2002,287,175
commerce-department,commerce-department,DOC,2003,272,206
commerce-department,commerce-department,DOC,2004,311,126
commerce-department,commerce-department,DOC,2005,328,145
commerce-department,commerce-department,DOC,2006,327,153
commerce-department,commerce-department,DOC,2007,338,138
commerce-department,commerce-department,DOC,2008,360,169
commerce-department,commerce-department,DOC,2009,322,143
commerce-department,commerce-department,DOC,2010,324,135
commerce-department,commerce-department,DOC,2011,341,208
commerce-department,commerce-department,DOC,2012,335,189
commerce-department,commerce-department,DOC,2013,310,173
commerce-department,commerce-department,DOC,2014,346,181
commerce-department,commerce-department,DOC,2015,337,147
commerce-department,commerce-department,DOC,2016,387,174
commerce-department,commerce-department,DOC,2017,313,106
commerce-department,commerce-department,DOC,2018,304,113
commerce-department,commerce-department,DOC,2019,310,129
commerce-department,commerce-department,DOC,2020,353,114
commerce-department,commerce-department,DOC,2021,315,100
commerce-department,commerce-department,DOC,2022,294,113
commerce-department,commerce-department,DOC,2023,313,136
commerce-department,economic-analysis-bureau,EAB,1995,3,2
commerce-department,economic-analysis-bureau,EAB,1996,1,1
commerce-department,economic-analysis-bureau,EAB,1997,3,4
commerce-department,economic-analysis-bureau,EAB,1998,1,1
commerce-department,economic-analysis-bureau,EAB,1999,3,2
commerce-department,economic-analysis-bureau,EAB,2000,4,4
commerce-department,economic-analysis-bureau,EAB,2001,2,2
commerce-department,economic-analysis-bureau,EAB,2002,3,3
commerce-department,economic-analysis-bureau,EAB,2003,4,5
commerce-department,economic-analysis-bureau,EAB,2004,4,3
commerce-department,economic-analysis-bureau,EAB,2005,2,2
commerce-department,economic-analysis-bureau,EAB,2006,2,4
commerce-department,economic-analysis-bureau,EAB,2007,4,2
commerce-department,economic-analysis-bureau,EAB,2008,1,3
commerce-department,economic-analysis-bureau,EAB,2009,5,3
commerce-department,economic-analysis-bureau,EAB,2010,3,3
commerce-department,economic-analysis-bureau,EAB,2011,3,5
commerce-department,economic-analysis-bureau,EAB,2012,3,0
commerce-department,economic-analysis-bureau,EAB,2013,0,0
commerce-department,economic-analysis-bureau,EAB,2014,3,3
commerce-department,economic-analysis-bureau,EAB,2015,1,0
commerce-department,economic-analysis-bureau,EAB,2016,1,1
commerce-department,economic-analysis-bureau,EAB,2017,1,2
commerce-department,economic-analysis-bureau,EAB,2018,1,0
commerce-department,economic-analysis-bureau,EAB,2019,2,2
commerce-department,economic-analysis-bureau,EAB,2020,1,1
commerce-department,economic-analysis-bureau,EAB,2021,0,0
commerce-department,economic-analysis-bureau,EAB,2022,3,3
commerce-department,economic-analysis-bureau,EAB,2023,0,0
commerce-department,economic-development-administration,EDA,1995,1,0
commerce-department,economic-development-administration,EDA,1996,1,0
commerce-department,economic-development-administration,EDA,1997,0,0
commerce-department,economic-development-administration,EDA,1998,0,0
commerce-department,economic-development-administration,EDA,1999,4,0
commerce-department,economic-development-administration,EDA,2000,1,0
commerce-department,economic-development-administration,EDA,2001,0,0
commerce-department,economic-development-administration,EDA,2002,0,0
commerce-department,economic-development-administration,EDA,2003,0,0
commerce-department,economic-development-administration,EDA,2004,0,0
commerce-department,economic-development-administration,EDA,2005,6,0
commerce-department,economic-development-administration,EDA,2006,1,0
commerce-department,economic-development-administration,EDA,2007,0,0
commerce-department,economic-development-administration,EDA,2008,2,0
commerce-department,economic-development-administration,EDA,2009,2,1
commerce-department,economic-development-administration,EDA,2010,0,0
commerce-department,economic-development-administration,EDA,2011,0,3
commerce-department,economic-development-administration,EDA,2012,0,1
commerce-department,economic-development-administration,EDA,2013,0,1
commerce-department,economic-development-administration,EDA,2014,1,0
commerce-department,economic-development-administration,EDA,2015,0,0
commerce-department,economic-development-administration,EDA,2016,2,4
commerce-department,economic-development-administration,EDA,2017,2,0
commerce-department,economic-development-administration,EDA,2018,0,0
commerce-department,economic-development-administration,EDA,2019,0,1
commerce-department,economic-development-administration,EDA,2020,1,0
commerce-department,economic-development-administration,EDA,2021,1,0
commerce-department,economic-development-administration,EDA,2022,0,0
commerce-department,economic-development-administration,EDA,2023,0,0
commerce-department,export-administration-bureau,EAB,1995,7,4
commerce-department,export-administration-bureau,EAB,1996,13,1
commerce-department,export-administration-bureau,EAB,1997,12,3
commerce-department,export-administration-bureau,EAB,1998,20,1
commerce-department,export-administration-bureau,EAB,1999,26,3
commerce-department,export-administration-bureau,EAB,2000,22,1
commerce-department,export-administration-bureau,EAB,2001,11,2
commerce-department,export-administration-bureau,EAB,2002,8,0
commerce-department,export-administration-bureau,EAB,2003,0,0
commerce-department,export-administration-bureau,EAB,2004,0,0
commerce-department,export-administration-bureau,EAB,2005,0,0
commerce-department,export-administration-bureau,EAB,2006,0,0
commerce-department,export-administration-bureau,EAB,2007,0,0
commerce-department,export-administration-bureau,EAB,2008,0,0
commerce-department,export-administration-bureau,EAB,2009,0,0
commerce-department,export-administration-bureau,EAB,2010,0,0
commerce-department,export-administration-bureau,EAB,2011,0,0
commerce-department,export-administration-bureau,EAB,2012,0,0
commerce-department,export-administration-bureau,EAB,2013,0,0
commerce-department,export-administration-bureau,EAB,2014,0,0
commerce-department,export-administration-bureau,EAB,2015,0,0
commerce-department,export-administration-bureau,EAB,2016,0,0
commerce-department,export-administration-bureau,EAB,2017,0,0
commerce-department,export-administration-bureau,EAB,2018,0,0
commerce-department,export-administration-bureau,EAB,2019,0,0
commerce-department,export-administration-bureau,EAB,2020,0,0
commerce-department,export-administration-bureau,EAB,2021,0,0
commerce-department,export-administration-bureau,EAB,2022,0,0
commerce-department,export-administration-bureau,EAB,2023,0,0
commerce-department,foreign-trade-zones-board,FTZB,1995,0,0
commerce-department,foreign-trade-zones-board,FTZB,1996,0,0
commerce-department,foreign-trade-zones-board,FTZB,1997,0,0
commerce-department,foreign-trade-zones-board,FTZB,1998,0,0
commerce-department,foreign-trade-zones-board,FTZB,1999,0,0
commerce-department,foreign-trade-zones-board,FTZB,2000,0,0
commerce-department,foreign-trade-zones-board,FTZB,2001,0,0
commerce-department,foreign-trade-zones-board,FTZB,2002,0,0
commerce-department,foreign-trade-zones-board,FTZB,2003,0,0
commerce-department,foreign-trade-zones-board,FTZB,2004,0,0
commerce-department,foreign-trade-zones-board,FTZB,2005,0,0
commerce-department,foreign-trade-zones-board,FTZB,2006,0,0
commerce-department,foreign-trade-zones-board,FTZB,2007,0,0
commerce-department,foreign-trade-zones-board,FTZB,2008,0,0
commerce-department,foreign-trade-zones-board,FTZB,2009,0,0
commerce-department,foreign-trade-zones-board,FTZB,2010,0,1
commerce-department,foreign-trade-zones-board,FTZB,2011,0,1
commerce-department,foreign-trade-zones-board,FTZB,2012,1,0
commerce-department,foreign-trade-zones-board,FTZB,2013,1,0
commerce-department,foreign-trade-zones-board,FTZB,2014,0,0
commerce-department,foreign-trade-zones-board,FTZB,2015,0,0
commerce-department,foreign-trade-zones-board,FTZB,2016,0,0
commerce-department,foreign-trade-zones-board,FTZB,2017,0,0
commerce-department,foreign-trade-zones-board,FTZB,2018,0,0
commerce-department,foreign-trade-zones-board,FTZB,2019,0,0
commerce-department,foreign-trade-zones-board,FTZB,2020,0,0
commerce-department,foreign-trade-zones-board,FTZB,2021,0,0
commerce-department,foreign-trade-zones-board,FTZB,2022,0,0
commerce-department,foreign-trade-zones-board,FTZB,2023,0,0
commerce-department,industry-and-security-bureau,BIS,1995,0,0
commerce-department,industry-and-security-bureau,BIS,1996,0,0
commerce-department,industry-and-security-bureau,BIS,1997,0,0
commerce-department,industry-and-security-bureau,BIS,1998,0,0
commerce-department,industry-and-security-bureau,BIS,1999,0,0
commerce-department,industry-and-security-bureau,BIS,2000,0,0
commerce-department,industry-and-security-bureau,BIS,2001,0,0
commerce-department,industry-and-security-bureau,BIS,2002,11,2
commerce-department,industry-and-security-bureau,BIS,2003,12,5
commerce-department,industry-and-security-bureau,BIS,2004,29,8
commerce-department,industry-and-security-bureau,BIS,2005,20,5
commerce-department,industry-and-security-bureau,BIS,2006,22,11
commerce-department,industry-and-security-bureau,BIS,2007,22,4
commerce-department,industry-and-security-bureau,BIS,2008,23,4
commerce-department,industry-and-security-bureau,BIS,2009,22,3
commerce-department,industry-and-security-bureau,BIS,2010,26,6
commerce-department,industry-and-security-bureau,BIS,2011,35,9
commerce-department,industry-and-security-bureau,BIS,2012,27,12
commerce-department,industry-and-security-bureau,BIS,2013,23,4
commerce-department,industry-and-security-bureau,BIS,2014,37,6
commerce-department,industry-and-security-bureau,BIS,2015,39,11
commerce-department,industry-and-security-bureau,BIS,2016,50,4
commerce-department,industry-and-security-bureau,BIS,2017,18,0
commerce-department,industry-and-security-bureau,BIS,2018,14,6
commerce-department,industry-and-security-bureau,BIS,2019,19,1
commerce-department,industry-and-security-bureau,BIS,2020,41,5
commerce-department,industry-and-security-bureau,BIS,2021,27,3
commerce-department,industry-and-security-bureau,BIS,2022,35,3
commerce-department,industry-and-security-bureau,BIS,2023,39,5
commerce-department,international-trade-administration,ITA,1995,1,1
commerce-department,international-trade-administration,ITA,1996,1,4
commerce-department,international-trade-administration,ITA,1997,1,6
commerce-department,international-trade-administration,ITA,1998,5,1
commerce-department,international-trade-administration,ITA,1999,3,3
commerce-department,international-trade-administration,ITA,2000,2,1
commerce-department,international-trade-administration,ITA,2001,2,1
commerce-department,international-trade-administration,ITA,2002,2,2
commerce-department,international-trade-administration,ITA,2003,1,1
commerce-department,international-trade-administration,ITA,2004,3,3
commerce-department,international-trade-administration,ITA,2005,8,2
commerce-department,international-trade-administration,ITA,2006,2,5
commerce-department,international-trade-administration,ITA,2007,4,0
commerce-department,international-trade-administration,ITA,2008,5,3
commerce-department,international-trade-administration,ITA,2009,3,0
commerce-department,international-trade-administration,ITA,2010,0,3
commerce-department,international-trade-administration,ITA,2011,5,3
commerce-department,international-trade-administration,ITA,2012,3,8
commerce-department,international-trade-administration,ITA,2013,9,2
commerce-department,international-trade-administration,ITA,2014,2,0
commerce-department,international-trade-administration,ITA,2015,5,0
commerce-department,international-trade-administration,ITA,2016,2,5
commerce-department,international-trade-administration,ITA,2017,0,0
commerce-department,international-trade-administration,ITA,2018,0,0
commerce-department,international-trade-administration,ITA,2019,2,1
commerce-department,international-trade-administration,ITA,2020,7,4
commerce-department,international-trade-administration,ITA,2021,5,0
commerce-department,international-trade-administration,ITA,2022,2,3
commerce-department,international-trade-administration,ITA,2023,2,1
commerce-department,minority-business-development-agency,MBDA,1995,0,0
commerce-department,minority-business-development-agency,MBDA,1996,0,0
commerce-department,minority-business-development-agency,MBDA,1997,0,0
commerce-department,minority-business-development-agency,MBDA,1998,0,0
commerce-department,minority-business-development-agency,MBDA,1999,0,0
commerce-department,minority-business-development-agency,MBDA,2000,0,0
commerce-department,minority-business-development-agency,MBDA,2001,0,0
commerce-department,minority-business-development-agency,MBDA,2002,0,0
commerce-department,minority-business-development-agency,MBDA,2003,0,0
commerce-department,minority-business-development-agency,MBDA,2004,0,0
commerce-department,minority-business-development-agency,MBDA,2005,0,0
commerce-department,minority-business-development-agency,MBDA,2006,0,0
commerce-department,minority-business-development-agency,MBDA,2007,0,0
commerce-department,minority-business-development-agency,MBDA,2008,0,0
commerce-department,minority-business-development-agency,MBDA,2009,0,0
commerce-department,minority-business-development-agency,MBDA,2010,0,0
commerce-department,minority-business-development-agency,MBDA,2011,0,0
commerce-department,minority-business-development-agency,MBDA,2012,0,5
commerce-department,minority-business-development-agency,MBDA,2013,0,1
commerce-department,minority-business-development-agency,MBDA,2014,0,0
commerce-department,minority-business-development-agency,MBDA,2015,0,0
commerce-department,minority-business-development-agency,MBDA,2016,0,0
commerce-department,minority-business-development-agency,MBDA,2017,0,0
commerce-department,minority-business-development-agency,MBDA,2018,0,0
commerce-department,minority-business-development-agency,MBDA,2019,0,0
commerce-department,minority-business-development-agency,MBDA,2020,0,0
commerce-department,minority-business-development-agency,MBDA,2021,0,0
commerce-department,minority-business-development-agency,MBDA,2022,0,0
commerce-department,minority-business-development-agency,MBDA,2023,0,0
commerce-department,national-institute-of-standards-and-technology,NIST,1995,2,1
commerce-department,national-institute-of-standards-and-technology,NIST,1996,1,0
commerce-department,national-institute-of-standards-and-technology,NIST,1997,2,2
commerce-department,national-institute-of-standards-and-technology,NIST,1998,5,1
commerce-department,national-institute-of-standards-and-technology,NIST,1999,1,3
commerce-department,national-institute-of-standards-and-technology,NIST,2000,2,1
commerce-department,national-institute-of-standards-and-technology,NIST,2001,1,0
commerce-department,national-institute-of-standards-and-technology,NIST,2002,1,0
commerce-department,national-institute-of-standards-and-technology,NIST,2003,2,0
commerce-department,national-institute-of-standards-and-technology,NIST,2004,1,0
commerce-department,national-institute-of-standards-and-technology,NIST,2005,1,0
commerce-department,national-institute-of-standards-and-technology,NIST,2006,0,0
commerce-department,national-institute-of-standards-and-technology,NIST,2007,2,0
commerce-department,national-institute-of-standards-and-technology,NIST,2008,1,1
commerce-department,national-institute-of-standards-and-technology,NIST,2009,0,0
commerce-department,national-institute-of-standards-and-technology,NIST,2010,0,0
commerce-department,national-institute-of-standards-and-technology,NIST,2011,1,1
commerce-department,national-institute-of-standards-and-technology,NIST,2012,1,0
commerce-department,national-institute-of-standards-and-technology,NIST,2013,0,0
commerce-department,national-institute-of-standards-and-technology,NIST,2014,0,0
commerce-department,national-institute-of-standards-and-technology,NIST,2015,0,0
commerce-department,national-institute-of-standards-and-technology,NIST,2016,1,2
commerce-department,national-institute-of-standards-and-technology,NIST,2017,1,0
commerce-department,national-institute-of-standards-and-technology,NIST,2018,1,0
commerce-department,national-institute-of-standards-and-technology,NIST,2019,0,0
commerce-department,national-institute-of-standards-and-technology,NIST,2020,1,2
commerce-department,national-institute-of-standards-and-technology,NIST,2021,1,0
commerce-department,national-institute-of-standards-and-technology,NIST,2022,0,0
commerce-department,national-institute-of-standards-and-technology,NIST,2023,3,2
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,1995,153,116
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,1996,182,136
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,1997,252,150
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,1998,271,157
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,1999,307,163
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2000,276,159
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2001,266,178
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2002,255,163
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2003,232,184
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2004,257,107
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2005,279,127
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2006,290,126
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2007,293,126
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2008,313,146
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2009,281,132
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2010,287,117
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2011,285,169
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2012,280,141
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2013,267,155
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2014,287,157
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2015,278,126
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2016,317,144
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2017,279,96
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2018,278,101
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2019,277,114
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2020,283,90
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2021,263,83
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2022,244,97
commerce-department,national-oceanic-and-atmospheric-administration,NOAA,2023,251,119
commerce-department,national-technical-information-service,NTIS,1995,0,0
commerce-department,national-technical-information-service,NTIS,1996,0,0
commerce-department,national-technical-information-service,NTIS,1997,0,0
commerce-department,national-technical-information-service,NTIS,1998,0,0
commerce-department,national-technical-information-service,NTIS,1999,0,0
commerce-department,national-technical-information-service,NTIS,2000,0,0
commerce-department,national-technical-information-service,NTIS,2001,0,0
commerce-department,national-technical-information-service,NTIS,2002,0,0
commerce-department,national-technical-information-service,NTIS,2003,0,0
commerce-department,national-technical-information-service,NTIS,2004,0,0
commerce-department,national-technical-information-service,NTIS,2005,0,0
commerce-department,national-technical-information-service,NTIS,2006,0,0
commerce-department,national-technical-information-service,NTIS,2007,0,0
commerce-department,national-technical-information-service,NTIS,2008,0,0
commerce-department,national-technical-information-service,NTIS,2009,0,0
commerce-department,national-technical-information-service,NTIS,2010,0,0
commerce-department,national-technical-information-service,NTIS,2011,0,0
commerce-department,national-technical-information-service,NTIS,2012,1,0
commerce-department,national-technical-information-service,NTIS,2013,0,0
commerce-department,national-technical-information-service,NTIS,2014,1,3
commerce-department,national-technical-information-service,NTIS,2015,0,0
commerce-department,national-technical-information-service,NTIS,2016,1,0
commerce-department,national-technical-information-service,NTIS,2017,0,0
commerce-department,national-technical-information-service,NTIS,2018,0,0
commerce-department,national-technical-information-service,NTIS,2019,0,0
commerce-department,national-technical-information-service,NTIS,2020,0,0
commerce-department,national-technical-information-service,NTIS,2021,0,0
commerce-department,national-technical-information-service,NTIS,2022,0,0
commerce-department,national-technical-information-service,NTIS,2023,0,0
commerce-department,national-telecommunications-and-information-administration,NTIA,1995,1,0
commerce-department,national-telecommunications-and-information-administration,NTIA,1996,1,1
commerce-department,national-telecommunications-and-information-administration,NTIA,1997,0,0
commerce-department,national-telecommunications-and-information-administration,NTIA,1998,0,1
commerce-department,national-telecommunications-and-information-administration,NTIA,1999,0,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2000,0,1
commerce-department,national-telecommunications-and-information-administration,NTIA,2001,0,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2002,1,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2003,0,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2004,0,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2005,1,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2006,0,1
commerce-department,national-telecommunications-and-information-administration,NTIA,2007,2,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2008,1,3
commerce-department,national-telecommunications-and-information-administration,NTIA,2009,4,1
commerce-department,national-telecommunications-and-information-administration,NTIA,2010,3,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2011,2,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2012,2,1
commerce-department,national-telecommunications-and-information-administration,NTIA,2013,1,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2014,1,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2015,1,1
commerce-department,national-telecommunications-and-information-administration,NTIA,2016,1,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2017,2,2
commerce-department,national-telecommunications-and-information-administration,NTIA,2018,2,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2019,0,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2020,0,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2021,2,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2022,0,0
commerce-department,national-telecommunications-and-information-administration,NTIA,2023,2,0
commerce-department,patent-and-trademark-office,PTO,1995,7,5
commerce-department,patent-and-trademark-office,PTO,1996,6,5
commerce-department,patent-and-trademark-office,PTO,1997,2,3
commerce-department,patent-and-trademark-office,PTO,1998,9,1
commerce-department,patent-and-trademark-office,PTO,1999,5,3
commerce-department,patent-and-trademark-office,PTO,2000,13,6
commerce-department,patent-and-trademark-office,PTO,2001,9,4
commerce-department,patent-and-trademark-office,PTO,2002,3,2
commerce-department,patent-and-trademark-office,PTO,2003,14,12
commerce-department,patent-and-trademark-office,PTO,2004,14,2
commerce-department,patent-and-trademark-office,PTO,2005,7,8
commerce-department,patent-and-trademark-office,PTO,2006,6,5
commerce-department,patent-and-trademark-office,PTO,2007,7,6
commerce-department,patent-and-trademark-office,PTO,2008,9,9
commerce-department,patent-and-trademark-office,PTO,2009,3,1
commerce-department,patent-and-trademark-office,PTO,2010,3,2
commerce-department,patent-and-trademark-office,PTO,2011,9,17
