parent_agency,acronym,presidential_year,final_rules,proposed_rules
state-department,DOS,1999,19,7
state-department,DOS,2000,21,4
state-department,DOS,2001,25,4
state-department,DOS,2002,30,4
state-department,DOS,2003,24,4
state-department,DOS,2004,13,3
state-department,DOS,2005,14,3
state-department,DOS,2006,20,12
state-department,DOS,2007,29,8
state-department,DOS,2008,25,4
state-department,DOS,2009,7,7
state-department,DOS,2010,9,8
state-department,DOS,2011,17,16
state-department,DOS,2012,14,10
state-department,DOS,2013,15,4
state-department,DOS,2014,21,1
state-department,DOS,2015,20,14
state-department,DOS,2016,25,9
state-department,DOS,2017,9,3
state-department,DOS,2018,9,4
state-department,DOS,2019,15,3
state-department,DOS,2020,14,6
state-department,DOS,2021,24,6
state-department,DOS,2022,10,3
state-department,DOS,2023,20,8
transportation-department,DOT,1995,993,732
transportation-department,DOT,1996,1194,796
transportation-department,DOT,1997,1184,724
transportation-department,DOT,1998,1653,942
transportation-department,DOT,1999,1317,886
transportation-department,DOT,2000,1284,701
transportation-department,DOT,2001,1267,703
transportation-department,DOT,2002,1239,636
transportation-department,DOT,2003,948,604
transportation-department,DOT,2004,1018,658
transportation-department,DOT,2005,948,651
transportation-department,DOT,2006,815,600
transportation-department,DOT,2007,793,605
transportation-department,DOT,2008,834,532
transportation-department,DOT,2009,753,498
transportation-department,DOT,2010,801,637
transportation-department,DOT,2011,761,591
transportation-department,DOT,2012,749,627
transportation-department,DOT,2013,803,621
transportation-department,DOT,2014,697,489
transportation-department,DOT,2015,626,488
transportation-department,DOT,2016,756,551
transportation-department,DOT,2017,754,481
transportation-department,DOT,2018,700,476
transportation-department,DOT,2019,573,480
transportation-department,DOT,2020,711,530
transportation-department,DOT,2021,825,660
transportation-department,DOT,2022,823,613
transportation-department,DOT,2023,700,536
treasury-department,TREAS,1995,169,131
treasury-department,TREAS,1996,183,136
treasury-department,TREAS,1997,146,127
treasury-department,TREAS,1998,148,125
treasury-department,TREAS,1999,143,113
treasury-department,TREAS,2000,164,144
treasury-department,TREAS,2001,145,102
treasury-department,TREAS,2002,160,167
treasury-department,TREAS,2003,155,149
treasury-department,TREAS,2004,127,128
treasury-department,TREAS,2005,140,115
treasury-department,TREAS,2006,126,109
treasury-department,TREAS,2007,127,104
treasury-department,TREAS,2008,131,126
treasury-department,TREAS,2009,101,75
treasury-department,TREAS,2010,103,76
treasury-department,TREAS,2011,123,106
treasury-department,TREAS,2012,95,95
treasury-department,TREAS,2013,87,83
treasury-department,TREAS,2014,115,62
treasury-department,TREAS,2015,85,82
treasury-department,TREAS,2016,151,107
treasury-department,TREAS,2017,53,35
treasury-department,TREAS,2018,60,70
treasury-department,TREAS,2019,103,102
treasury-department,TREAS,2020,146,86
treasury-department,TREAS,2021,74,48
treasury-department,TREAS,2022,121,48
treasury-department,TREAS,2023,112,87
veterans-affairs-department,VA,1995,36,6
veterans-affairs-department,VA,1996,65,17
veterans-affairs-department,VA,1997,48,24
veterans-affairs-department,VA,1998,28,18
veterans-affairs-department,VA,1999,30,7
veterans-affairs-department,VA,2000,24,19
veterans-affairs-department,VA,2001,40,28
veterans-affairs-department,VA,2002,41,19
veterans-affairs-department,VA,2003,37,17
veterans-affairs-department,VA,2004,26,13
veterans-affairs-department,VA,2005,19,9
veterans-affairs-department,VA,2006,21,15
veterans-affairs-department,VA,2007,24,12
veterans-affairs-department,VA,2008,28,20
veterans-affairs-department,VA,2009,32,16
veterans-affairs-department,VA,2010,22,21
veterans-affairs-department,VA,2011,33,18
veterans-affairs-department,VA,2012,30,19
veterans-affairs-department,VA,2013,36,16
veterans-affairs-department,VA,2014,27,13
veterans-affairs-department,VA,2015,29,18
veterans-affairs-department,VA,2016,27,15
veterans-affairs-department,VA,2017,22,18
veterans-affairs-department,VA,2018,34,21
veterans-affairs-department,VA,2019,25,22
veterans-affairs-department,VA,2020,26,20
veterans-affairs-department,VA,2021,32,18
veterans-affairs-department,VA,2022,35,20
veterans-affairs-department,VA,2023,23,18
